[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-18-50-22-197273-pro-54144
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [54169]
[INFO] [teleop_node-2]: process started with pid [54171]
[INFO] [driver-3]: process started with pid [54173]
[INFO] [sonar_array-4]: process started with pid [54175]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [54178]
[teleop_node-2] [INFO] [1716144622.714749759] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716144622.714966915] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716144622.715013028] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716144623.194796098] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716144632.822602310] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144632.876131321] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144632.917005083] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144632.969312141] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144633.019352743] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144633.070477883] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144633.118798437] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144633.171642103] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144633.222653572] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:0.88m, C:0.85m, R:0.35m
[obstacle_avoid_sonar-5] [INFO] [1716144633.272659726] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.324078581] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.373850948] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.427582851] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.477335810] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.531416116] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.578291727] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.631057335] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.680141584] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.83m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.733593014] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.29m, C:0.92m, R:0.73m
[obstacle_avoid_sonar-5] [INFO] [1716144633.784404957] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
