[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-19-16-50-328228-pro-60523
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [60548]
[INFO] [teleop_node-2]: process started with pid [60550]
[INFO] [driver-3]: process started with pid [60552]
[INFO] [sonar_array-4]: process started with pid [60554]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [60564]
[teleop_node-2] [INFO] [1716146211.141790621] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716146211.141997945] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716146211.142034036] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716146211.286629385] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716146220.987792681] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146221.040026857] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146221.089177842] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146221.140801492] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146221.192066473] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146239.750549509] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146239.797482896] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146239.844740008] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146239.901603937] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146239.957625088] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.005112227] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.063621661] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.112105797] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.159279750] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.207042344] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.264910991] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:3.32m
[obstacle_avoid_sonar-5] [INFO] [1716146240.313121435] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.360875048] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.419411740] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.466351907] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.516157817] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.564247656] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.622240890] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.671771795] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.720930697] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.774447388] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.79m, C:0.20m, R:2.03m
[obstacle_avoid_sonar-5] [INFO] [1716146240.821411666] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146240.877960797] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146240.927223621] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146240.975803086] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146241.026032553] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146241.074239909] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146241.122442486] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146241.174284996] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146241.222540367] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146241.260388791] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:1.37m, C:1.52m, R:1.15m
[obstacle_avoid_sonar-5] [INFO] [1716146243.347662843] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
