[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-21-28-55-643919-pro-64896
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [64921]
[INFO] [teleop_node-2]: process started with pid [64923]
[INFO] [driver-3]: process started with pid [64925]
[INFO] [sonar_array-4]: process started with pid [64927]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [64929]
[teleop_node-2] [INFO] [1716154136.136795925] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716154136.136988978] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716154136.137029719] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716154136.578768331] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716154147.921209074] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.52m, C:0.99m, R:1.71m
[obstacle_avoid_sonar-5] [INFO] [1716154147.943842378] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.52m, C:0.99m, R:1.71m
[obstacle_avoid_sonar-5] [INFO] [1716154147.965146214] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.52m, C:0.99m, R:1.71m
[obstacle_avoid_sonar-5] [INFO] [1716154148.004745510] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.52m, C:0.99m, R:1.71m
[obstacle_avoid_sonar-5] [INFO] [1716154148.055948168] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.52m, C:0.99m, R:1.71m
[obstacle_avoid_sonar-5] [INFO] [1716154149.598610524] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.99m
[obstacle_avoid_sonar-5] [INFO] [1716154149.624105651] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.672562874] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.719816480] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.729897247] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.778862706] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.824985805] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.869672882] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.877174360] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.887051536] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.920632394] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.930735827] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.966270535] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.970142236] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154149.984125370] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154150.022520401] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154150.032726888] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154150.072328314] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154150.076502271] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154150.086884220] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.63m, C:0.90m, R:1.12m
[obstacle_avoid_sonar-5] [INFO] [1716154150.126106075] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.134072900] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.144514219] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.184507103] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:0.81m, R:1.03m
